 스테이지|일반몹 한마리당 금화 획득량|일반몹 한마리당 혼백 획득량|일반몹 한마리당 영석 획득량|보스몹 한마리당 금화 획득량|보스몹 한마리당 혼백 획득량|보스몹 한마리당 영석 획득량|플레이어 경험치 획득량
426|1820.00|1820.00|426.00|18200.00|18200.00|426.00|426.00
427|1828.54|1828.54|427.00|18285.40|18285.40|427.00|427.00
428|1837.10|1837.10|428.00|18371.00|18371.00|428.00|428.00
429|1845.68|1845.68|429.00|18456.80|18456.80|429.00|429.00
430|1854.28|1854.28|430.00|18542.80|18542.80|430.00|430.00
431|1862.90|1862.90|431.00|18629.00|18629.00|431.00|431.00
432|1871.54|1871.54|432.00|18715.40|18715.40|432.00|432.00
433|1880.20|1880.20|433.00|18802.00|18802.00|433.00|433.00
434|1888.88|1888.88|434.00|18888.80|18888.80|434.00|434.00
435|1897.58|1897.58|435.00|18975.80|18975.80|435.00|435.00
436|1906.30|1906.30|436.00|19063.00|19063.00|436.00|436.00
437|1915.04|1915.04|437.00|19150.40|19150.40|437.00|437.00
438|1923.80|1923.80|438.00|19238.00|19238.00|438.00|438.00
439|1932.58|1932.58|439.00|19325.80|19325.80|439.00|439.00
440|1941.38|1941.38|440.00|19413.80|19413.80|440.00|440.00
441|1950.20|1950.20|441.00|19502.00|19502.00|441.00|441.00
442|1959.04|1959.04|442.00|19590.40|19590.40|442.00|442.00
443|1967.90|1967.90|443.00|19679.00|19679.00|443.00|443.00
444|1976.78|1976.78|444.00|19767.80|19767.80|444.00|444.00
445|1985.68|1985.68|445.00|19856.80|19856.80|445.00|445.00
446|1994.60|1994.60|446.00|19946.00|19946.00|446.00|446.00
447|2003.54|2003.54|447.00|20035.40|20035.40|447.00|447.00
448|2012.50|2012.50|448.00|20125.00|20125.00|448.00|448.00
449|2021.48|2021.48|449.00|20214.80|20214.80|449.00|449.00
450|2030.48|2030.48|450.00|20304.80|20304.80|450.00|450.00
451|2039.50|2039.50|451.00|20395.00|20395.00|451.00|451.00
452|2048.54|2048.54|452.00|20485.40|20485.40|452.00|452.00
453|2057.60|2057.60|453.00|20576.00|20576.00|453.00|453.00
454|2066.68|2066.68|454.00|20666.80|20666.80|454.00|454.00
455|2075.78|2075.78|455.00|20757.80|20757.80|455.00|455.00
456|2084.90|2084.90|456.00|20849.00|20849.00|456.00|456.00
457|2094.04|2094.04|457.00|20940.40|20940.40|457.00|457.00
458|2103.20|2103.20|458.00|21032.00|21032.00|458.00|458.00
459|2112.38|2112.38|459.00|21123.80|21123.80|459.00|459.00
460|2121.58|2121.58|460.00|21215.80|21215.80|460.00|460.00
461|2130.80|2130.80|461.00|21308.00|21308.00|461.00|461.00
462|2140.04|2140.04|462.00|21400.40|21400.40|462.00|462.00
463|2149.30|2149.30|463.00|21493.00|21493.00|463.00|463.00
464|2158.58|2158.58|464.00|21585.80|21585.80|464.00|464.00
465|2167.88|2167.88|465.00|21678.80|21678.80|465.00|465.00
466|2177.20|2177.20|466.00|21772.00|21772.00|466.00|466.00
467|2186.54|2186.54|467.00|21865.40|21865.40|467.00|467.00
468|2195.90|2195.90|468.00|21959.00|21959.00|468.00|468.00
469|2205.28|2205.28|469.00|22052.80|22052.80|469.00|469.00
470|2214.68|2214.68|470.00|22146.80|22146.80|470.00|470.00
471|2224.10|2224.10|471.00|22241.00|22241.00|471.00|471.00
472|2233.54|2233.54|472.00|22335.40|22335.40|472.00|472.00
473|2243.00|2243.00|473.00|22430.00|22430.00|473.00|473.00
474|2252.48|2252.48|474.00|22524.80|22524.80|474.00|474.00
475|2261.98|2261.98|475.00|22619.80|22619.80|475.00|475.00
476|2271.50|2271.50|476.00|22715.00|22715.00|476.00|476.00
477|2281.04|2281.04|477.00|22810.40|22810.40|477.00|477.00
478|2290.60|2290.60|478.00|22906.00|22906.00|478.00|478.00
479|2300.18|2300.18|479.00|23001.80|23001.80|479.00|479.00
480|2309.78|2309.78|480.00|23097.80|23097.80|480.00|480.00
481|2319.40|2319.40|481.00|23194.00|23194.00|481.00|481.00
482|2329.04|2329.04|482.00|23290.40|23290.40|482.00|482.00
483|2338.70|2338.70|483.00|23387.00|23387.00|483.00|483.00
484|2348.38|2348.38|484.00|23483.80|23483.80|484.00|484.00
485|2358.08|2358.08|485.00|23580.80|23580.80|485.00|485.00
486|2367.80|2367.80|486.00|23678.00|23678.00|486.00|486.00
487|2377.54|2377.54|487.00|23775.40|23775.40|487.00|487.00
488|2387.30|2387.30|488.00|23873.00|23873.00|488.00|488.00
489|2397.08|2397.08|489.00|23970.80|23970.80|489.00|489.00
490|2406.88|2406.88|490.00|24068.80|24068.80|490.00|490.00
491|2416.70|2416.70|491.00|24167.00|24167.00|491.00|491.00
492|2426.54|2426.54|492.00|24265.40|24265.40|492.00|492.00
493|2436.40|2436.40|493.00|24364.00|24364.00|493.00|493.00
494|2446.28|2446.28|494.00|24462.80|24462.80|494.00|494.00
495|2456.18|2456.18|495.00|24561.80|24561.80|495.00|495.00
496|2466.10|2466.10|496.00|24661.00|24661.00|496.00|496.00
497|2476.04|2476.04|497.00|24760.40|24760.40|497.00|497.00
498|2486.00|2486.00|498.00|24860.00|24860.00|498.00|498.00
499|2495.98|2495.98|499.00|24959.80|24959.80|499.00|499.00
500|2505.98|2505.98|500.00|25059.80|25059.80|500.00|500.00
501|2516.00|2516.00|501.00|25160.00|25160.00|501.00|501.00
502|2526.04|2526.04|502.00|25260.40|25260.40|502.00|502.00
503|2536.10|2536.10|503.00|25361.00|25361.00|503.00|503.00
504|2546.18|2546.18|504.00|25461.80|25461.80|504.00|504.00
505|2556.28|2556.28|505.00|25562.80|25562.80|505.00|505.00
506|2566.40|2566.40|506.00|25664.00|25664.00|506.00|506.00
507|2576.54|2576.54|507.00|25765.40|25765.40|507.00|507.00
508|2586.70|2586.70|508.00|25867.00|25867.00|508.00|508.00
509|2596.88|2596.88|509.00|25968.80|25968.80|509.00|509.00
510|2607.08|2607.08|510.00|26070.80|26070.80|510.00|510.00
511|2617.30|2617.30|511.00|26173.00|26173.00|511.00|511.00
512|2627.54|2627.54|512.00|26275.40|26275.40|512.00|512.00
513|2637.80|2637.80|513.00|26378.00|26378.00|513.00|513.00
514|2648.08|2648.08|514.00|26480.80|26480.80|514.00|514.00
515|2658.38|2658.38|515.00|26583.80|26583.80|515.00|515.00
516|2668.70|2668.70|516.00|26687.00|26687.00|516.00|516.00
517|2679.04|2679.04|517.00|26790.40|26790.40|517.00|517.00
518|2689.40|2689.40|518.00|26894.00|26894.00|518.00|518.00
519|2699.78|2699.78|519.00|26997.80|26997.80|519.00|519.00
520|2710.18|2710.18|520.00|27101.80|27101.80|520.00|520.00
521|2720.60|2720.60|521.00|27206.00|27206.00|521.00|521.00
522|2731.04|2731.04|522.00|27310.40|27310.40|522.00|522.00
523|2741.50|2741.50|523.00|27415.00|27415.00|523.00|523.00
524|2751.98|2751.98|524.00|27519.80|27519.80|524.00|524.00
525|2762.48|2762.48|525.00|27624.80|27624.80|525.00|525.00
526|2773.00|2773.00|526.00|27730.00|27730.00|526.00|526.00
527|2783.54|2783.54|527.00|27835.40|27835.40|527.00|527.00
528|2794.10|2794.10|528.00|27941.00|27941.00|528.00|528.00
529|2804.68|2804.68|529.00|28046.80|28046.80|529.00|529.00
530|2815.28|2815.28|530.00|28152.80|28152.80|530.00|530.00
531|2825.90|2825.90|531.00|28259.00|28259.00|531.00|531.00
532|2836.54|2836.54|532.00|28365.40|28365.40|532.00|532.00
533|2847.20|2847.20|533.00|28472.00|28472.00|533.00|533.00
534|2857.88|2857.88|534.00|28578.80|28578.80|534.00|534.00
535|2868.58|2868.58|535.00|28685.80|28685.80|535.00|535.00
536|2879.30|2879.30|536.00|28793.00|28793.00|536.00|536.00
537|2890.04|2890.04|537.00|28900.40|28900.40|537.00|537.00
538|2900.80|2900.80|538.00|29008.00|29008.00|538.00|538.00
539|2911.58|2911.58|539.00|29115.80|29115.80|539.00|539.00
540|2922.38|2922.38|540.00|29223.80|29223.80|540.00|540.00
541|2933.20|2933.20|541.00|29332.00|29332.00|541.00|541.00
542|2944.04|2944.04|542.00|29440.40|29440.40|542.00|542.00
543|2954.90|2954.90|543.00|29549.00|29549.00|543.00|543.00
544|2965.78|2965.78|544.00|29657.80|29657.80|544.00|544.00
545|2976.68|2976.68|545.00|29766.80|29766.80|545.00|545.00
546|2987.60|2987.60|546.00|29876.00|29876.00|546.00|546.00
547|2998.54|2998.54|547.00|29985.40|29985.40|547.00|547.00
548|3009.50|3009.50|548.00|30095.00|30095.00|548.00|548.00
549|3020.48|3020.48|549.00|30204.80|30204.80|549.00|549.00
550|3031.48|3031.48|550.00|30314.80|30314.80|550.00|550.00
551|3042.50|3042.50|551.00|30425.00|30425.00|551.00|551.00
552|3053.54|3053.54|552.00|30535.40|30535.40|552.00|552.00
553|3064.60|3064.60|553.00|30646.00|30646.00|553.00|553.00
554|3075.68|3075.68|554.00|30756.80|30756.80|554.00|554.00
555|3086.78|3086.78|555.00|30867.80|30867.80|555.00|555.00
556|3097.90|3097.90|556.00|30979.00|30979.00|556.00|556.00
557|3109.04|3109.04|557.00|31090.40|31090.40|557.00|557.00
558|3120.20|3120.20|558.00|31202.00|31202.00|558.00|558.00
559|3131.38|3131.38|559.00|31313.80|31313.80|559.00|559.00
560|3142.58|3142.58|560.00|31425.80|31425.80|560.00|560.00
561|3153.80|3153.80|561.00|31538.00|31538.00|561.00|561.00
562|3165.04|3165.04|562.00|31650.40|31650.40|562.00|562.00
563|3176.30|3176.30|563.00|31763.00|31763.00|563.00|563.00
564|3187.58|3187.58|564.00|31875.80|31875.80|564.00|564.00
565|3198.88|3198.88|565.00|31988.80|31988.80|565.00|565.00
566|3210.20|3210.20|566.00|32102.00|32102.00|566.00|566.00
567|3221.54|3221.54|567.00|32215.40|32215.40|567.00|567.00
568|3232.90|3232.90|568.00|32329.00|32329.00|568.00|568.00
569|3244.28|3244.28|569.00|32442.80|32442.80|569.00|569.00
570|3255.68|3255.68|570.00|32556.80|32556.80|570.00|570.00
571|3267.10|3267.10|571.00|32671.00|32671.00|571.00|571.00
572|3278.54|3278.54|572.00|32785.40|32785.40|572.00|572.00
573|3290.00|3290.00|573.00|32900.00|32900.00|573.00|573.00
574|3301.48|3301.48|574.00|33014.80|33014.80|574.00|574.00
575|3312.98|3312.98|575.00|33129.80|33129.80|575.00|575.00
576|3324.50|3324.50|576.00|33245.00|33245.00|576.00|576.00
577|3336.04|3336.04|577.00|33360.40|33360.40|577.00|577.00
578|3347.60|3347.60|578.00|33476.00|33476.00|578.00|578.00
579|3359.18|3359.18|579.00|33591.80|33591.80|579.00|579.00
580|3370.78|3370.78|580.00|33707.80|33707.80|580.00|580.00
581|3382.40|3382.40|581.00|33824.00|33824.00|581.00|581.00
582|3394.04|3394.04|582.00|33940.40|33940.40|582.00|582.00
583|3405.70|3405.70|583.00|34057.00|34057.00|583.00|583.00
584|3417.38|3417.38|584.00|34173.80|34173.80|584.00|584.00
585|3429.08|3429.08|585.00|34290.80|34290.80|585.00|585.00
586|3440.80|3440.80|586.00|34408.00|34408.00|586.00|586.00
587|3452.54|3452.54|587.00|34525.40|34525.40|587.00|587.00
588|3464.30|3464.30|588.00|34643.00|34643.00|588.00|588.00
589|3476.08|3476.08|589.00|34760.80|34760.80|589.00|589.00
590|3487.88|3487.88|590.00|34878.80|34878.80|590.00|590.00
591|3499.70|3499.70|591.00|34997.00|34997.00|591.00|591.00
592|3511.54|3511.54|592.00|35115.40|35115.40|592.00|592.00
593|3523.40|3523.40|593.00|35234.00|35234.00|593.00|593.00
594|3535.28|3535.28|594.00|35352.80|35352.80|594.00|594.00
595|3547.18|3547.18|595.00|35471.80|35471.80|595.00|595.00
596|3559.10|3559.10|596.00|35591.00|35591.00|596.00|596.00
597|3571.04|3571.04|597.00|35710.40|35710.40|597.00|597.00
598|3583.00|3583.00|598.00|35830.00|35830.00|598.00|598.00
599|3594.98|3594.98|599.00|35949.80|35949.80|599.00|599.00
600|3606.98|3606.98|600.00|36069.80|36069.80|600.00|600.00
601|3619.00|3619.00|601.00|36190.00|36190.00|601.00|601.00
602|3631.04|3631.04|602.00|36310.40|36310.40|602.00|602.00
603|3643.10|3643.10|603.00|36431.00|36431.00|603.00|603.00
604|3655.18|3655.18|604.00|36551.80|36551.80|604.00|604.00
605|3667.28|3667.28|605.00|36672.80|36672.80|605.00|605.00
606|3679.40|3679.40|606.00|36794.00|36794.00|606.00|606.00
607|3691.54|3691.54|607.00|36915.40|36915.40|607.00|607.00
608|3703.70|3703.70|608.00|37037.00|37037.00|608.00|608.00
609|3715.88|3715.88|609.00|37158.80|37158.80|609.00|609.00
610|3728.08|3728.08|610.00|37280.80|37280.80|610.00|610.00
611|3740.30|3740.30|611.00|37403.00|37403.00|611.00|611.00
612|3752.54|3752.54|612.00|37525.40|37525.40|612.00|612.00
613|3764.80|3764.80|613.00|37648.00|37648.00|613.00|613.00
614|3777.08|3777.08|614.00|37770.80|37770.80|614.00|614.00
615|3789.38|3789.38|615.00|37893.80|37893.80|615.00|615.00
616|3801.70|3801.70|616.00|38017.00|38017.00|616.00|616.00
617|3814.04|3814.04|617.00|38140.40|38140.40|617.00|617.00
618|3826.40|3826.40|618.00|38264.00|38264.00|618.00|618.00
619|3838.78|3838.78|619.00|38387.80|38387.80|619.00|619.00
620|3851.18|3851.18|620.00|38511.80|38511.80|620.00|620.00
621|3863.60|3863.60|621.00|38636.00|38636.00|621.00|621.00
622|3876.04|3876.04|622.00|38760.40|38760.40|622.00|622.00
623|3888.50|3888.50|623.00|38885.00|38885.00|623.00|623.00
624|3900.98|3900.98|624.00|39009.80|39009.80|624.00|624.00
625|3913.48|3913.48|625.00|39134.80|39134.80|625.00|625.00
626|3926.00|3926.00|626.00|39260.00|39260.00|626.00|626.00
627|3938.54|3938.54|627.00|39385.40|39385.40|627.00|627.00
628|3951.10|3951.10|628.00|39511.00|39511.00|628.00|628.00
629|3963.68|3963.68|629.00|39636.80|39636.80|629.00|629.00
630|3976.28|3976.28|630.00|39762.80|39762.80|630.00|630.00
631|3988.90|3988.90|631.00|39889.00|39889.00|631.00|631.00
632|4001.54|4001.54|632.00|40015.40|40015.40|632.00|632.00
633|4014.20|4014.20|633.00|40142.00|40142.00|633.00|633.00
634|4026.88|4026.88|634.00|40268.80|40268.80|634.00|634.00
635|4039.58|4039.58|635.00|40395.80|40395.80|635.00|635.00
636|4052.30|4052.30|636.00|40523.00|40523.00|636.00|636.00
637|4065.04|4065.04|637.00|40650.40|40650.40|637.00|637.00
638|4077.80|4077.80|638.00|40778.00|40778.00|638.00|638.00
639|4090.58|4090.58|639.00|40905.80|40905.80|639.00|639.00
640|4103.38|4103.38|640.00|41033.80|41033.80|640.00|640.00
641|4116.20|4116.20|641.00|41162.00|41162.00|641.00|641.00
642|4129.04|4129.04|642.00|41290.40|41290.40|642.00|642.00
643|4141.90|4141.90|643.00|41419.00|41419.00|643.00|643.00
644|4154.78|4154.78|644.00|41547.80|41547.80|644.00|644.00
645|4167.68|4167.68|645.00|41676.80|41676.80|645.00|645.00
646|4180.60|4180.60|646.00|41806.00|41806.00|646.00|646.00
647|4193.54|4193.54|647.00|41935.40|41935.40|647.00|647.00
648|4206.50|4206.50|648.00|42065.00|42065.00|648.00|648.00
649|4219.48|4219.48|649.00|42194.80|42194.80|649.00|649.00
650|4232.48|4232.48|650.00|42324.80|42324.80|650.00|650.00
651|4245.50|4245.50|651.00|42455.00|42455.00|651.00|651.00
652|4258.54|4258.54|652.00|42585.40|42585.40|652.00|652.00
653|4271.60|4271.60|653.00|42716.00|42716.00|653.00|653.00
654|4284.68|4284.68|654.00|42846.80|42846.80|654.00|654.00
655|4297.78|4297.78|655.00|42977.80|42977.80|655.00|655.00
656|4310.90|4310.90|656.00|43109.00|43109.00|656.00|656.00
657|4324.04|4324.04|657.00|43240.40|43240.40|657.00|657.00
658|4337.20|4337.20|658.00|43372.00|43372.00|658.00|658.00
659|4350.38|4350.38|659.00|43503.80|43503.80|659.00|659.00
660|4363.58|4363.58|660.00|43635.80|43635.80|660.00|660.00
661|4376.80|4376.80|661.00|43768.00|43768.00|661.00|661.00
662|4390.04|4390.04|662.00|43900.40|43900.40|662.00|662.00
663|4403.30|4403.30|663.00|44033.00|44033.00|663.00|663.00
664|4416.58|4416.58|664.00|44165.80|44165.80|664.00|664.00
665|4429.88|4429.88|665.00|44298.80|44298.80|665.00|665.00
666|4443.20|4443.20|666.00|44432.00|44432.00|666.00|666.00
667|4456.54|4456.54|667.00|44565.40|44565.40|667.00|667.00
668|4469.90|4469.90|668.00|44699.00|44699.00|668.00|668.00
669|4483.28|4483.28|669.00|44832.80|44832.80|669.00|669.00
670|4496.68|4496.68|670.00|44966.80|44966.80|670.00|670.00
671|4510.10|4510.10|671.00|45101.00|45101.00|671.00|671.00
672|4523.54|4523.54|672.00|45235.40|45235.40|672.00|672.00
673|4537.00|4537.00|673.00|45370.00|45370.00|673.00|673.00
674|4550.48|4550.48|674.00|45504.80|45504.80|674.00|674.00
675|4563.98|4563.98|675.00|45639.80|45639.80|675.00|675.00
676|4577.50|4577.50|676.00|45775.00|45775.00|676.00|676.00
677|4591.04|4591.04|677.00|45910.40|45910.40|677.00|677.00
678|4604.60|4604.60|678.00|46046.00|46046.00|678.00|678.00
679|4618.18|4618.18|679.00|46181.80|46181.80|679.00|679.00
680|4631.78|4631.78|680.00|46317.80|46317.80|680.00|680.00
681|4645.40|4645.40|681.00|46454.00|46454.00|681.00|681.00
682|4659.04|4659.04|682.00|46590.40|46590.40|682.00|682.00
683|4672.70|4672.70|683.00|46727.00|46727.00|683.00|683.00
684|4686.38|4686.38|684.00|46863.80|46863.80|684.00|684.00
685|4700.08|4700.08|685.00|47000.80|47000.80|685.00|685.00
686|4713.80|4713.80|686.00|47138.00|47138.00|686.00|686.00
687|4727.54|4727.54|687.00|47275.40|47275.40|687.00|687.00
688|4741.30|4741.30|688.00|47413.00|47413.00|688.00|688.00
689|4755.08|4755.08|689.00|47550.80|47550.80|689.00|689.00
690|4768.88|4768.88|690.00|47688.80|47688.80|690.00|690.00
691|4782.70|4782.70|691.00|47827.00|47827.00|691.00|691.00
692|4796.54|4796.54|692.00|47965.40|47965.40|692.00|692.00
693|4810.40|4810.40|693.00|48104.00|48104.00|693.00|693.00
694|4824.28|4824.28|694.00|48242.80|48242.80|694.00|694.00
695|4838.18|4838.18|695.00|48381.80|48381.80|695.00|695.00
696|4852.10|4852.10|696.00|48521.00|48521.00|696.00|696.00
697|4866.04|4866.04|697.00|48660.40|48660.40|697.00|697.00
698|4880.00|4880.00|698.00|48800.00|48800.00|698.00|698.00
699|4893.98|4893.98|699.00|48939.80|48939.80|699.00|699.00
700|4907.98|4907.98|700.00|49079.80|49079.80|700.00|700.00
701|4922.00|4922.00|701.00|49220.00|49220.00|701.00|701.00
702|4936.04|4936.04|702.00|49360.40|49360.40|702.00|702.00
703|4950.10|4950.10|703.00|49501.00|49501.00|703.00|703.00
704|4964.18|4964.18|704.00|49641.80|49641.80|704.00|704.00
705|4978.28|4978.28|705.00|49782.80|49782.80|705.00|705.00
706|4992.40|4992.40|706.00|49924.00|49924.00|706.00|706.00
707|5006.54|5006.54|707.00|50065.40|50065.40|707.00|707.00
708|5020.70|5020.70|708.00|50207.00|50207.00|708.00|708.00
709|5034.88|5034.88|709.00|50348.80|50348.80|709.00|709.00
710|5049.08|5049.08|710.00|50490.80|50490.80|710.00|710.00
711|5063.30|5063.30|711.00|50633.00|50633.00|711.00|711.00
712|5077.54|5077.54|712.00|50775.40|50775.40|712.00|712.00
713|5091.80|5091.80|713.00|50918.00|50918.00|713.00|713.00
714|5106.08|5106.08|714.00|51060.80|51060.80|714.00|714.00
715|5120.38|5120.38|715.00|51203.80|51203.80|715.00|715.00
716|5134.70|5134.70|716.00|51347.00|51347.00|716.00|716.00
717|5149.04|5149.04|717.00|51490.40|51490.40|717.00|717.00
718|5163.40|5163.40|718.00|51634.00|51634.00|718.00|718.00
719|5177.78|5177.78|719.00|51777.80|51777.80|719.00|719.00
720|5192.18|5192.18|720.00|51921.80|51921.80|720.00|720.00
721|5206.60|5206.60|721.00|52066.00|52066.00|721.00|721.00
722|5221.04|5221.04|722.00|52210.40|52210.40|722.00|722.00
723|5235.50|5235.50|723.00|52355.00|52355.00|723.00|723.00
724|5249.98|5249.98|724.00|52499.80|52499.80|724.00|724.00
725|5264.48|5264.48|725.00|52644.80|52644.80|725.00|725.00
726|5279.00|5279.00|726.00|52790.00|52790.00|726.00|726.00
727|5293.54|5293.54|727.00|52935.40|52935.40|727.00|727.00
728|5308.10|5308.10|728.00|53081.00|53081.00|728.00|728.00
729|5322.68|5322.68|729.00|53226.80|53226.80|729.00|729.00
730|5337.28|5337.28|730.00|53372.80|53372.80|730.00|730.00
731|5351.90|5351.90|731.00|53519.00|53519.00|731.00|731.00
732|5366.54|5366.54|732.00|53665.40|53665.40|732.00|732.00
733|5381.20|5381.20|733.00|53812.00|53812.00|733.00|733.00
734|5395.88|5395.88|734.00|53958.80|53958.80|734.00|734.00
735|5410.58|5410.58|735.00|54105.80|54105.80|735.00|735.00
736|5425.30|5425.30|736.00|54253.00|54253.00|736.00|736.00
737|5440.04|5440.04|737.00|54400.40|54400.40|737.00|737.00
738|5454.80|5454.80|738.00|54548.00|54548.00|738.00|738.00
739|5469.58|5469.58|739.00|54695.80|54695.80|739.00|739.00
740|5484.38|5484.38|740.00|54843.80|54843.80|740.00|740.00
741|5499.20|5499.20|741.00|54992.00|54992.00|741.00|741.00
742|5514.04|5514.04|742.00|55140.40|55140.40|742.00|742.00
743|5528.90|5528.90|743.00|55289.00|55289.00|743.00|743.00
744|5543.78|5543.78|744.00|55437.80|55437.80|744.00|744.00
745|5558.68|5558.68|745.00|55586.80|55586.80|745.00|745.00
746|5573.60|5573.60|746.00|55736.00|55736.00|746.00|746.00
747|5588.54|5588.54|747.00|55885.40|55885.40|747.00|747.00
748|5603.50|5603.50|748.00|56035.00|56035.00|748.00|748.00
749|5618.48|5618.48|749.00|56184.80|56184.80|749.00|749.00
750|5633.48|5633.48|750.00|56334.80|56334.80|750.00|750.00
751|5648.50|5648.50|751.00|56485.00|56485.00|751.00|751.00
752|5663.54|5663.54|752.00|56635.40|56635.40|752.00|752.00
753|5678.60|5678.60|753.00|56786.00|56786.00|753.00|753.00
754|5693.68|5693.68|754.00|56936.80|56936.80|754.00|754.00
755|5708.78|5708.78|755.00|57087.80|57087.80|755.00|755.00
756|5723.90|5723.90|756.00|57239.00|57239.00|756.00|756.00
757|5739.04|5739.04|757.00|57390.40|57390.40|757.00|757.00
758|5754.20|5754.20|758.00|57542.00|57542.00|758.00|758.00
759|5769.38|5769.38|759.00|57693.80|57693.80|759.00|759.00
760|5784.58|5784.58|760.00|57845.80|57845.80|760.00|760.00
761|5799.80|5799.80|761.00|57998.00|57998.00|761.00|761.00
762|5815.04|5815.04|762.00|58150.40|58150.40|762.00|762.00
763|5830.30|5830.30|763.00|58303.00|58303.00|763.00|763.00
764|5845.58|5845.58|764.00|58455.80|58455.80|764.00|764.00
765|5860.88|5860.88|765.00|58608.80|58608.80|765.00|765.00
766|5876.20|5876.20|766.00|58762.00|58762.00|766.00|766.00
767|5891.54|5891.54|767.00|58915.40|58915.40|767.00|767.00
768|5906.90|5906.90|768.00|59069.00|59069.00|768.00|768.00
769|5922.28|5922.28|769.00|59222.80|59222.80|769.00|769.00
770|5937.68|5937.68|770.00|59376.80|59376.80|770.00|770.00
771|5953.10|5953.10|771.00|59531.00|59531.00|771.00|771.00
772|5968.54|5968.54|772.00|59685.40|59685.40|772.00|772.00
773|5984.00|5984.00|773.00|59840.00|59840.00|773.00|773.00
774|5999.48|5999.48|774.00|59994.80|59994.80|774.00|774.00
775|6014.98|6014.98|775.00|60149.80|60149.80|775.00|775.00
776|6030.50|6030.50|776.00|60305.00|60305.00|776.00|776.00
777|6046.04|6046.04|777.00|60460.40|60460.40|777.00|777.00
778|6061.60|6061.60|778.00|60616.00|60616.00|778.00|778.00
779|6077.18|6077.18|779.00|60771.80|60771.80|779.00|779.00
780|6092.78|6092.78|780.00|60927.80|60927.80|780.00|780.00
781|6108.40|6108.40|781.00|61084.00|61084.00|781.00|781.00
782|6124.04|6124.04|782.00|61240.40|61240.40|782.00|782.00
783|6139.70|6139.70|783.00|61397.00|61397.00|783.00|783.00
784|6155.38|6155.38|784.00|61553.80|61553.80|784.00|784.00
785|6171.08|6171.08|785.00|61710.80|61710.80|785.00|785.00
786|6186.80|6186.80|786.00|61868.00|61868.00|786.00|786.00
787|6202.54|6202.54|787.00|62025.40|62025.40|787.00|787.00
788|6218.30|6218.30|788.00|62183.00|62183.00|788.00|788.00
789|6234.08|6234.08|789.00|62340.80|62340.80|789.00|789.00
790|6249.88|6249.88|790.00|62498.80|62498.80|790.00|790.00
791|6265.70|6265.70|791.00|62657.00|62657.00|791.00|791.00
792|6281.54|6281.54|792.00|62815.40|62815.40|792.00|792.00
793|6297.40|6297.40|793.00|62974.00|62974.00|793.00|793.00
794|6313.28|6313.28|794.00|63132.80|63132.80|794.00|794.00
795|6329.18|6329.18|795.00|63291.80|63291.80|795.00|795.00
796|6345.10|6345.10|796.00|63451.00|63451.00|796.00|796.00
797|6361.04|6361.04|797.00|63610.40|63610.40|797.00|797.00
798|6377.00|6377.00|798.00|63770.00|63770.00|798.00|798.00
799|6392.98|6392.98|799.00|63929.80|63929.80|799.00|799.00
800|6408.98|6408.98|800.00|64089.80|64089.80|800.00|800.00
801|6425.00|6425.00|801.00|64250.00|64250.00|801.00|801.00
802|6441.04|6441.04|802.00|64410.40|64410.40|802.00|802.00
803|6457.10|6457.10|803.00|64571.00|64571.00|803.00|803.00
804|6473.18|6473.18|804.00|64731.80|64731.80|804.00|804.00
805|6489.28|6489.28|805.00|64892.80|64892.80|805.00|805.00
806|6505.40|6505.40|806.00|65054.00|65054.00|806.00|806.00
807|6521.54|6521.54|807.00|65215.40|65215.40|807.00|807.00
808|6537.70|6537.70|808.00|65377.00|65377.00|808.00|808.00
809|6553.88|6553.88|809.00|65538.80|65538.80|809.00|809.00
810|6570.08|6570.08|810.00|65700.80|65700.80|810.00|810.00
811|6586.30|6586.30|811.00|65863.00|65863.00|811.00|811.00
812|6602.54|6602.54|812.00|66025.40|66025.40|812.00|812.00
813|6618.80|6618.80|813.00|66188.00|66188.00|813.00|813.00
814|6635.08|6635.08|814.00|66350.80|66350.80|814.00|814.00
815|6651.38|6651.38|815.00|66513.80|66513.80|815.00|815.00
816|6667.70|6667.70|816.00|66677.00|66677.00|816.00|816.00
817|6684.04|6684.04|817.00|66840.40|66840.40|817.00|817.00
818|6700.40|6700.40|818.00|67004.00|67004.00|818.00|818.00
819|6716.78|6716.78|819.00|67167.80|67167.80|819.00|819.00
820|6733.18|6733.18|820.00|67331.80|67331.80|820.00|820.00
821|6749.60|6749.60|821.00|67496.00|67496.00|821.00|821.00
822|6766.04|6766.04|822.00|67660.40|67660.40|822.00|822.00
823|6782.50|6782.50|823.00|67825.00|67825.00|823.00|823.00
824|6798.98|6798.98|824.00|67989.80|67989.80|824.00|824.00
825|6815.48|6815.48|825.00|68154.80|68154.80|825.00|825.00
826|6832.00|6832.00|826.00|68320.00|68320.00|826.00|826.00
827|6848.54|6848.54|827.00|68485.40|68485.40|827.00|827.00
828|6865.10|6865.10|828.00|68651.00|68651.00|828.00|828.00
829|6881.68|6881.68|829.00|68816.80|68816.80|829.00|829.00
830|6898.28|6898.28|830.00|68982.80|68982.80|830.00|830.00
831|6914.90|6914.90|831.00|69149.00|69149.00|831.00|831.00
832|6931.54|6931.54|832.00|69315.40|69315.40|832.00|832.00
833|6948.20|6948.20|833.00|69482.00|69482.00|833.00|833.00
